brand,YYYY_MM_DD,id,odd_color,odd_selected,truth,response
כרמית,2026_05_12,1,pink,FALSE,white,pink
כרמית,2026_05_12,2,white,TRUE,pink,white
כרמית,2026_05_13,3,pink,TRUE,white,white
כרמית,2026_05_17,4,pink,TRUE,white,white
כרמית,2026_05_17,5,pink,TRUE,white,pink
כרמית,2026_05_17,6,white,TRUE,white,white
כרמית,2026_05_17,7,white,FALSE,white,pink
כרמית,2026_05_17,8,pink,TRUE,white,white
כרמית,2026_05_17,9,white,FALSE,pink,white
כרמית,2026_05_17,10,pink,TRUE,pink,pink
כרמית,2026_05_17,11,pink,TRUE,white,white
כרמית,2026_05_18,12,white,FALSE,white,white
כרמית,2026_05_18,13,pink,TRUE,white,pink
כרמית,2026_05_18,14,white,FALSE,pink,white
כרמית,2026_05_18,15,pink,FALSE,white,white
כרמית,2026_05_18,16,white,FALSE,pink,white
כרמית,2026_05_18,17,white,FALSE,pink,pink
כרמית,2026_05_18,18,pink,TRUE,pink,pink
כרמית,2026_05_18,19,white,FALSE,white,white
כרמית,2026_05_18,20,white,FALSE,pink,white
כרמית,2026_05_18,21,white,FALSE,pink,pink
כרמית,2026_05_18,22,pink,FALSE,pink,pink
כרמית,2026_05_18,23,white,TRUE,pink,pink
כרמית,2026_05_18,24,pink,FALSE,pink,white
כרמית,2026_05_18,25,white,TRUE,white,white
כרמית,2026_05_18,26,white,TRUE,white,white
